Date,Open,High,Low,Close,Adj Close,Volume
2014-01-27,15.210000,15.290000,15.040000,15.110000,7.136948,20818700
2014-01-28,15.360000,15.440000,15.020000,15.050000,7.108608,22373700
2014-01-29,15.060000,15.140000,14.700000,14.800000,6.990527,25561100
2014-01-30,14.880000,15.100000,14.630000,14.700000,6.943292,25607800
2014-01-31,14.640000,15.070000,14.550000,14.700000,6.943292,49314200
2014-02-03,14.590000,14.630000,13.800000,13.850000,6.541809,51667600
2014-02-04,14.040000,14.220000,13.770000,14.090000,6.655170,36400300
2014-02-05,14.150000,14.280000,13.560000,13.830000,6.532364,39232600
2014-02-06,13.940000,14.360000,13.880000,14.210000,6.711848,32126900
2014-02-07,14.270000,14.550000,14.160000,14.450000,6.825209,34263100
2014-02-10,14.360000,14.700000,14.330000,14.610000,6.900781,29123100
2014-02-11,14.710000,15.070000,14.640000,14.960000,7.066098,28992000
2014-02-12,15.080000,15.100000,14.780000,14.960000,7.066098,23713700
2014-02-13,14.780000,14.830000,14.440000,14.610000,6.900781,28201900
2014-02-14,14.710000,14.710000,14.470000,14.580000,6.886612,27084100
2014-02-17,14.650000,14.700000,14.310000,14.430000,6.815763,13181700
2014-02-18,14.420000,14.580000,14.110000,14.110000,6.664616,31555400
2014-02-19,14.020000,14.200000,13.880000,14.200000,6.707125,28362700
2014-02-20,14.060000,14.340000,13.980000,14.160000,6.688231,24473700
2014-02-21,14.200000,14.320000,14.070000,14.150000,6.683507,18689200
2014-02-24,14.110000,14.570000,14.010000,14.500000,6.848825,20993900
2014-02-25,14.450000,14.670000,14.110000,14.180000,6.697680,35828100
2014-02-26,14.200000,14.250000,13.680000,13.700000,6.470960,45181500
2014-02-27,13.820000,14.100000,13.650000,14.040000,6.631552,23575900
2014-02-28,14.100000,14.150000,13.580000,13.590000,6.419003,28318200
2014-03-05,13.700000,13.730000,13.280000,13.290000,6.277302,15287200
2014-03-06,13.420000,13.720000,13.310000,13.430000,6.343429,29223600
2014-03-07,13.430000,13.620000,13.210000,13.320000,6.291473,33482800
2014-03-10,13.270000,13.370000,12.900000,13.010000,6.145051,39540700
2014-03-11,13.060000,13.170000,12.960000,13.110000,6.192284,37605100
2014-03-12,13.110000,13.460000,13.080000,13.320000,6.291473,42963100
2014-03-13,13.390000,13.480000,13.030000,13.030000,6.154496,22769800
2014-03-14,13.080000,13.120000,12.770000,12.780000,6.036413,34674800
2014-03-17,12.880000,12.960000,12.550000,12.570000,5.937223,39457400
2014-03-18,12.640000,13.050000,12.570000,12.970000,6.126157,45126500
2014-03-19,12.950000,13.530000,12.930000,13.340000,6.300920,51670900
2014-03-20,13.230000,14.040000,13.160000,13.990000,6.607936,58253000
2014-03-21,13.450000,14.150000,13.450000,14.020000,6.622106,49269400
2014-03-24,14.170000,14.430000,13.870000,14.420000,6.811038,34293400
2014-03-25,14.260000,14.600000,14.130000,14.480000,6.839379,40256700
2014-03-26,14.550000,14.690000,14.350000,14.400000,6.801591,29664700
2014-03-27,14.390000,15.580000,14.320000,15.570000,7.354221,77808100
2014-03-28,15.570000,15.770000,15.200000,15.660000,7.396731,42344400
2014-03-31,15.710000,15.790000,15.500000,15.780000,7.453412,28288900
2014-04-01,15.720000,15.850000,15.480000,15.810000,7.467582,36206100
2014-04-02,15.710000,16.600000,15.700000,15.560000,7.349497,66007000
2014-04-03,15.530000,15.650000,15.120000,15.400000,7.756033,56189100
2014-04-04,15.620000,15.710000,15.350000,15.440000,7.776180,33173500
